Name,Cuisine,Ranking,Rating,Price,ReviewCount,Reviews,URL_TA
Gasthaus Alt Bayern,"['German', 'European']",1556.0,3.5,Medium,154.0,"[['Decent Enough', 'Very Good for German Food'], ['01/09/2018', '12/16/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d9855651-Reviews-Gasthaus_Alt_Bayern-Berlin.html
Mia Toscana,"['Italian', 'Mediterranean']",1557.0,4.5,Medium,40.0,"[['Excellent value', 'Amazing restaurant'], ['08/10/2017', '09/22/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3674874-Reviews-Mia_Toscana-Berlin.html
La Bodega Steakhaus & Cafe,"['Steakhouse', 'German', 'Mexican']",1559.0,4.5,Medium,30.0,"[['Fantastic food, great service', 'Great food at great prices in Berlin.'], ['10/01/2017', '05/21/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d8531114-Reviews-La_Bodega_Steakhaus_Cafe-Berlin.html
Cooking Papa,"['Asian', 'Korean']",1561.0,4.5,Medium,36.0,"[['Authentic Korean cuisine, but not so charm...', 'A local jewel'], ['08/12/2017', '05/23/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4411786-Reviews-Cooking_Papa-Berlin.html
Van Hoa,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",1562.0,4.5,Low,61.0,"[['Still a must everytime I go to Berlin', 'Super'], ['08/05/2017', '01/12/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d2013643-Reviews-Van_Hoa-Berlin.html
More,"['German', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options']",1563.0,4.0,Medium,586.0,"[['Enjoyable evening', 'Very nice'], ['01/02/2018', '10/13/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1008060-Reviews-More-Berlin.html
Lula am Markt,"['Pizza', 'Vegetarian Friendly']",1564.0,4.0,Medium,39.0,"[['Good original food', 'The best Galao in town!'], ['07/15/2017', '07/10/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d8459873-Reviews-Lula_am_Markt-Berlin.html
MUTZENBACHER,"['Austrian', 'European', 'Central European', 'Vegetarian Friendly']",1565.0,4.0,Medium,144.0,"[['Nice place', 'Very good schnitzel'], ['09/25/2017', '03/27/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3265521-Reviews-MUTZENBACHER-Berlin.html
Petrocelli,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",1566.0,4.0,Medium,141.0,"[['Very pleasant restaurant with very good fo...', 'Bright Italian Restaurant'], ['05/03/2017', '10/13/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4793766-Reviews-Petrocelli-Berlin.html
Spud Bencer,"['French', 'Gastropub', 'Street Food', 'Wine Bar']",1567.0,4.5,Medium,37.0,"[['Authentic and cozy', 'Absolutely fantastic!'], ['04/13/2017', '03/10/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3691258-Reviews-Spud_Bencer-Berlin.html
Factory Kitchen,['Cafe'],1568.0,4.5,Medium,13.0,"[['Stylish restaurant without stylish prices', 'Nice food, so-so atmosphere'], ['10/05/2017', '06/20/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d10749401-Reviews-Factory_Kitchen-Berlin.html
Trattoria Paparazzi,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly']",1571.0,4.0,Medium,69.0,"[['A very good Italian resturanr', 'Good as always'], ['03/19/2016', '01/24/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d718824-Reviews-Trattoria_Paparazzi-Berlin.html
Ristorante Il Nuovo Cristallo,['Italian'],1573.0,4.5,Medium,35.0,"[['Reward for an afternoon shopping', 'Delicious food and nice service'], ['11/28/2017', '09/16/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1900938-Reviews-Ristorante_Il_Nuovo_Cristallo-Berlin.html
Mikoto,"['Sushi', 'Asian', 'Japanese', 'Vegetarian Friendly']",1574.0,4.0,Medium,41.0,"[['very good sushis', 'Tasty and cheap'], ['08/10/2017', '12/02/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d5523753-Reviews-Mikoto-Berlin.html
Stella Marina,['Italian'],1575.0,4.5,Medium,24.0,"[['It is worthy the journey', ""If you're around it's a worthy place to vi...""], ['10/18/2016', '08/17/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1037059-Reviews-Stella_Marina-Berlin.html
Fine Bagels,"['American', 'Cafe', 'Vegetarian Friendly', 'Vegan Options']",1576.0,4.0,Low,37.0,"[['Good latte & cappucino, fantastic bagels...', 'Delicious bagels, great ambiente'], ['12/24/2017', '09/24/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d4959546-Reviews-Fine_Bagels-Berlin.html
CENACOLO,"['Italian', 'Pizza', 'Mediterranean', 'European', 'Vegetarian Friendly']",1577.0,4.0,Medium,72.0,"[['Genuine Italian ristorante', 'Very busy'], ['12/31/2017', '12/14/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d695579-Reviews-CENACOLO-Berlin.html
Mr Long,"['Asian', 'Vietnamese', 'Soups', 'Vegetarian Friendly']",1578.0,4.0,Medium,47.0,"[['Not sure what to think', 'Great food, very affordable, friendly serv...'], ['11/08/2017', '05/15/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d718226-Reviews-Mr_Long-Berlin.html
Fugger-Grill,"['Fast Food', 'Turkish', 'Vegetarian Friendly']",1579.0,4.0,Low,101.0,"[['Lovely food', 'great for a late night bite,or anytime I a...'], ['09/22/2017', '06/22/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d1341435-Reviews-Fugger_Grill-Berlin.html
Galilee Restaurant,"['Mediterranean', 'Fusion', 'Healthy', 'Middle Eastern']",1580.0,5.0,Medium,10.0,"[['Where are you eating tonight ???', 'Excellent food'], ['12/27/2017', '12/23/2017']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d12946276-Reviews-Galilee_Restaurant-Berlin.html
Ristorante Nuovo Paladino,['Italian'],1581.0,4.5,Medium,25.0,"[['Outstanding Authentic Italian in Zehlendor...', 'What a culinary find!'], ['06/25/2017', '09/15/2016']]",https://www.tripadvisor.com/Restaurant_Review-g187323-d3692149-Reviews-Ristorante_Nuovo_Paladino-Berlin.html
